Contest ID,Index,Problem Name,Rating,Solved,URL,Tags
2032,A,Circuit,800.0,18998,https://codeforces.com/problemset/problem/2032/A,"greedy, implementation, math, number theory"
2030,A,A Gift From Orangutan,800.0,22888,https://codeforces.com/problemset/problem/2030/A,"constructive algorithms, greedy, math, sortings"
2028,A,Alice's Adventures in ''Chess'',,9141,https://codeforces.com/problemset/problem/2028/A,"brute force, implementation, math, strings"
2027,A,Rectangle Arrangement,800.0,17776,https://codeforces.com/problemset/problem/2027/A,"geometry, implementation, math"
2024,A,Profitable Interest Rate,800.0,18316,https://codeforces.com/problemset/problem/2024/A,"greedy, math"
2022,A,Bus to Pénjamo,800.0,13386,https://codeforces.com/problemset/problem/2022/A,"constructive algorithms, greedy, implementation, math"
2020,A,Find Minimum Operations,800.0,21606,https://codeforces.com/problemset/problem/2020/A,"bitmasks, brute force, greedy, math, number theory"
2019,A,Max Plus Size,800.0,22564,https://codeforces.com/problemset/problem/2019/A,"brute force, dp, greedy"
2013,A,Zhan's Blender,800.0,26835,https://codeforces.com/problemset/problem/2013/A,"constructive algorithms, math"
2007,A,Dora's Set,800.0,22516,https://codeforces.com/problemset/problem/2007/A,"greedy, math, number theory"
2005,A,Simple Palindrome,900.0,21468,https://codeforces.com/problemset/problem/2005/A,"combinatorics, constructive algorithms, greedy, math"
2003,A,Turtle and Good Strings,800.0,28757,https://codeforces.com/problemset/problem/2003/A,"greedy, strings"
2001,A,Make All Equal,800.0,29401,https://codeforces.com/problemset/problem/2001/A,"greedy, implementation"
1998,A,Find K Distinct Points with Fixed Center,800.0,23828,https://codeforces.com/problemset/problem/1998/A,"constructive algorithms, implementation, math"
1995,A,Diagonals,800.0,24149,https://codeforces.com/problemset/problem/1995/A,"brute force, greedy, implementation, math"
1993,A,Question Marks,800.0,29264,https://codeforces.com/problemset/problem/1993/A,"greedy, implementation"
1990,A,Submission Bait,900.0,22584,https://codeforces.com/problemset/problem/1990/A,"brute force, games, greedy, sortings"
1988,A,Split the Multiset,900.0,23138,https://codeforces.com/problemset/problem/1988/A,"brute force, greedy, implementation, math"
1983,A,Array Divisibility,800.0,25601,https://codeforces.com/problemset/problem/1983/A,"constructive algorithms, math"
1981,A,Turtle and Piggy Are Playing a Game,800.0,22267,https://codeforces.com/problemset/problem/1981/A,"brute force, greedy, math"
1979,A,Guess the Maximum,800.0,29002,https://codeforces.com/problemset/problem/1979/A,"brute force, greedy, implementation"
1978,A,Alice and Books,800.0,25623,https://codeforces.com/problemset/problem/1978/A,"constructive algorithms, greedy, sortings"
1977,A,Little Nikita,800.0,31924,https://codeforces.com/problemset/problem/1977/A,math
1973,A,Chess For Three,900.0,24495,https://codeforces.com/problemset/problem/1973/A,"brute force, dp, implementation, math"
1972,A,Contest Proposal,800.0,22923,https://codeforces.com/problemset/problem/1972/A,"brute force, greedy, two pointers"
1966,A,Card Exchange,800.0,17887,https://codeforces.com/problemset/problem/1966/A,"constructive algorithms, games, greedy"
1957,A,Stickogon,800.0,23342,https://codeforces.com/problemset/problem/1957/A,"constructive algorithms, greedy"
1956,A,Nene's Game,800.0,21708,https://codeforces.com/problemset/problem/1956/A,"binary search, brute force, data structures, games, greedy"
1946,A,Median of an Array,800.0,26094,https://codeforces.com/problemset/problem/1946/A,"greedy, implementation, sortings"
1944,A,Destroying Bridges,800.0,23815,https://codeforces.com/problemset/problem/1944/A,"graphs, greedy, math"
2032,B,Medians,1100.0,14512,https://codeforces.com/problemset/problem/2032/B,"constructive algorithms, greedy, implementation, math"
2030,B,Minimise Oneness,800.0,19594,https://codeforces.com/problemset/problem/2030/B,"combinatorics, constructive algorithms, games, math"
2028,B,Alice's Adventures in Permuting,,4709,https://codeforces.com/problemset/problem/2028/B,"binary search, implementation, math"
2027,B,Stalin Sort,1100.0,12960,https://codeforces.com/problemset/problem/2027/B,"brute force, greedy"
2024,B,Buying Lemonade,1100.0,12713,https://codeforces.com/problemset/problem/2024/B,"binary search, constructive algorithms, sortings"
2022,B,Kar Salesman,1300.0,9600,https://codeforces.com/problemset/problem/2022/B,"binary search, greedy, math"
2020,B,Brightness Begins,1200.0,16086,https://codeforces.com/problemset/problem/2020/B,"binary search, math"
2019,B,All Pairs Segments,1200.0,13631,https://codeforces.com/problemset/problem/2019/B,"implementation, math"
2013,B,Battle for Survive,900.0,22679,https://codeforces.com/problemset/problem/2013/B,"constructive algorithms, greedy, math"
2007,B,Index and Maximum Value,900.0,20994,https://codeforces.com/problemset/problem/2007/B,"data structures, greedy"
2003,B,Turtle and Piggy Are Playing a Game 2,800.0,24982,https://codeforces.com/problemset/problem/2003/B,"games, greedy, sortings"
2001,B,Generate Permutation,800.0,23917,https://codeforces.com/problemset/problem/2001/B,constructive algorithms
1998,B,Minimize Equal Sum Subarrays,1000.0,23585,https://codeforces.com/problemset/problem/1998/B,"constructive algorithms, math, number theory"
1993,B,Parity and Sum,1100.0,22637,https://codeforces.com/problemset/problem/1993/B,"constructive algorithms, greedy"
1990,B,Array Craft,1200.0,16444,https://codeforces.com/problemset/problem/1990/B,"constructive algorithms, greedy"
1988,B,Make Majority,900.0,22684,https://codeforces.com/problemset/problem/1988/B,"greedy, implementation"
1983,B,Corner Twist,1200.0,16048,https://codeforces.com/problemset/problem/1983/B,"constructive algorithms, greedy, implementation, math"
1981,B,Turtle and an Infinite Sequence,1300.0,13715,https://codeforces.com/problemset/problem/1981/B,"bitmasks, math"
1979,B,XOR Sequences,1000.0,22552,https://codeforces.com/problemset/problem/1979/B,"bitmasks, greedy"
1978,B,New Bakery,800.0,22313,https://codeforces.com/problemset/problem/1978/B,"binary search, greedy, math, ternary search"
1977,B,Binary Colouring,1100.0,17617,https://codeforces.com/problemset/problem/1977/B,"bitmasks, constructive algorithms, greedy, math"
1973,B,"Cat, Fox and the Lonely Array",1300.0,14090,https://codeforces.com/problemset/problem/1973/B,"binary search, bitmasks, data structures, greedy, math, two pointers"
1972,B,Coin Games,900.0,21576,https://codeforces.com/problemset/problem/1972/B,games
1966,B,Rectangle Filling,1100.0,14994,https://codeforces.com/problemset/problem/1966/B,"constructive algorithms, implementation"
1957,B,A BIT of a Construction,1100.0,17956,https://codeforces.com/problemset/problem/1957/B,"bitmasks, constructive algorithms, greedy, implementation"
1956,B,Nene and the Card Game,800.0,21255,https://codeforces.com/problemset/problem/1956/B,"games, greedy"
1946,B,Maximum Sum,1100.0,20496,https://codeforces.com/problemset/problem/1946/B,"dp, greedy, math"
1944,B,Equal XOR,1100.0,16246,https://codeforces.com/problemset/problem/1944/B,"bitmasks, constructive algorithms"
2005,B1,The Strict Teacher (Easy Version),1000.0,19682,https://codeforces.com/problemset/problem/2005/B1,"greedy, math, sortings"
1995,B1,Bouquet (Easy Version),1100.0,17907,https://codeforces.com/problemset/problem/1995/B1,"binary search, brute force, greedy, sortings, two pointers"
2005,B2,The Strict Teacher (Hard Version),1200.0,17056,https://codeforces.com/problemset/problem/2005/B2,"binary search, greedy, math, sortings"
